Plot_Number,Treatment,Robbing,Florivory,Pollination,Early_Season_Anthocyanins,Late_Season_Anthocyanins,Change_in_Anthocyanins,Early_Season_Condensed_Tannins,Late_Season_Condensed_Tannins,Change_in_Condensed_Tannins,Early_Season_Flower_Redness,Late_Season_Flower_Redness,Change_in_Flower_Redness,Flower_Color_Category,Flower_Spur_Length,Flower_Length,Flower_Lip_Height,Flower_Lip_Width,Flower_Opening_Height,Flower_Opening_Width,Flower_Lip_Area,Flower_Opening_Area,Flower_Size_PC1,Average_CH_Fruits_Per_Day,Mature_CH_Fruits_Per_Day,Average_CL_Fruits_Per_Day,Mature_CL_Fruits_Per_Day,Total_Fruits_Per_Day,Total_Mature_Fruits_Per_Day,Proportion_of_Fruits_CH,Ratio_of_CH_to_CL_Fruits,Average_Seeds_Per_CH_Fruit,Average_Seeds_Per_CL_Fruit,Average_CH_Seed_Mass,Average_CL_Seed_Mass,Average_Percent_Leaf_Damage,Average_Herbivore_Density,Average_Herbivore_Richness,Average_Nectar_Volume,Maximum_Plant_Height,Maximum_Number_of_Nodes,Average_CL_Flowers_Per_Day,Average_Leaf_Area,Pollinators_Per_Hour,Robbers_Per_Hour,Thieves_Per_Hour,Proportion_Flowers_Visited_by_Pollinators,Proportion_Flowers_Visited_by_Robbers,Proportion_Flowers_Visited_by_Thieves,Date_of_First_CH_Flower,Total_CH_Flower_Production,Average_CH_Flowers_Per_Day,Average_Percent_Florivory
148,Pollination,N,N,Y,7.702702703,5.679824561,-2.022878141,273.3333333,81.08108108,192.2522522,6.256591973,2.131303469,4.125288504,yellow,7.6175,18.32,7.4275,12.2875,6.2425,3.4825,93.1578,21.40915,-0.47609114,8.833333333,0.166666667,3.833333333,0.333333333,12.66666667,0.5,0.697368421,2.304347826,NA,2,NA,0.0104,0.75,1,1,5.787804878,65,18,0,20.89,NA,NA,NA,NA,NA,NA,222,110,2.340425532,2
149,Control,N,N,N,9.462025316,8.063063063,-1.398962253,57.61904762,31.7617237,25.85732392,10.16929066,2.454523609,7.714767046,yellow,8.87,18.25,9,14.54,7.84,3.68,130.86,28.8512,1.097651763,4.333333333,0,3.5,0,7.833333333,0,0.553191489,1.238095238,NA,NA,NA,NA,5.625,8,3,7.287804878,67.1,17,0.333333333,20.65666667,NA,NA,NA,NA,NA,NA,229,93,1.978723404,0
150,PollFlor,N,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.75,0,0,NA,61.2,15,0,29.645,NA,NA,NA,NA,NA,NA,.,0,0,NA
151,Robbing,Y,N,N,2.718579235,8.28,5.561420765,42.05673759,47.46341463,-5.40667704,78.47250633,87.7643746,-9.291868261,red,6.68,16.245,7.885,11.735,6.095,4.49,100.75055,26.35675,-1.20158157,3.333333333,0,0.5,0,3.833333333,0,0.869565217,6.666666667,NA,NA,NA,NA,2.5,5,2,1.453125,85.3,21,0,21.15,0,0,0,0,0,0,215,127,2.70212766,4
152,Pollination,N,N,Y,15.53571429,5.18018018,-10.35553411,59.20353982,102.5925926,-43.38905278,11.03074499,4.993114558,6.037630436,yellow,8.86,18.855,8.225,13.7725,7.15,3.96,118.87325,28.282575,0.756545072,6.5,0,1.833333333,0.166666667,8.333333333,0.166666667,0.78,3.545454545,NA,2,NA,0.0106,2.75,5,3,4.757564787,80.4,19,0,20.20333333,0,0,0,0,0,0,215,222,4.723404255,0
153,RobFlor,Y,Y,N,1.403903904,1.097122302,-0.306781602,87.44186047,53.31081081,34.13104966,58.14899225,70.16682113,-12.01782887,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.166666667,0,0.5,0,1.666666667,0,0.7,2.333333333,NA,NA,NA,NA,6.25,17,3,2.5265625,75.4,17,0,16.66666667,NA,NA,NA,NA,NA,NA,229,54,1.173913043,0
154,PollRobFlor,Y,Y,Y,8.131868132,5.844827586,-2.287040546,81.16883117,63.83022774,17.33860343,10.09338691,4.25182099,5.841565917,yellow,8.352,19.494,8.192,13.578,7.19,3.75,116.2375,26.80888,0.719446908,11,0.166666667,1.166666667,0.333333333,12.16666667,0.5,0.904109589,9.428571429,1,2,0.0026,0.0115,0.125,3,3,6.855649038,88.8,16,0,22.63166667,NA,NA,NA,NA,NA,NA,211,156,3.319148936,3
155,Florivory,N,Y,N,10.68807339,13.76470588,3.076632488,135.3333333,60,75.3333333,7.509115832,6.713777899,0.795337933,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333,0,2.833333333,0.333333333,3.666666667,0.333333333,0.227272727,0.294117647,NA,2.5,NA,0.0127,0,9,2,13.35384615,69.6,17,0.666666667,20.71166667,NA,NA,NA,NA,NA,NA,217,64,1.361702128,13
156,PollRob,Y,N,Y,12.72123894,11.30208333,-1.419155605,117.7272727,33.83928571,83.88798699,6.599460145,3.094860977,3.504599167,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333,0,0.166666667,0,1,0,0.833333333,5,NA,NA,NA,NA,0.125,12,1,6.824519231,74.5,18,0,20.42166667,NA,NA,NA,NA,NA,NA,235,46,0.978723404,NA
157,RobFlor,Y,Y,N,9.292929293,-2.284946237,-11.57787553,115.2439024,40.58333333,74.66056907,51.99561969,61.52864678,-9.533027094,red,9.995,21.005,10.435,16.335,8.095,4.025,170.2812,32.5961,3.368207739,4.166666667,0.166666667,1,0,5.166666667,0.166666667,0.806451613,4.166666667,5,NA,0.0278,NA,2.875,11,2,19.51538462,76.1,19,0,28.32,NA,NA,NA,NA,NA,NA,222,132,2.808510638,0
158,PollRobFlor,Y,Y,Y,2.980649189,-1.846092504,-4.826741693,NA,48.13852814,NA,NA,68.13470217,NA,red,7.893333333,17.99666667,9.56,15.93666667,7.03,4.096666667,154.4589333,29.1271,1.341543047,7.666666667,0,3.333333333,0.166666667,11,0.166666667,0.696969697,2.3,NA,2,NA,0.016,1.25,13,2,NA,76.6,18,0,23.32,NA,NA,NA,NA,NA,NA,222,185,4.02173913,NA
159,Florivory,N,Y,N,6.741293532,7.876984127,1.135690595,82.59541985,55.61594203,26.97947782,7.837668374,2.840481469,4.997186904,yellow,8.665,20.31,9.78,17.13,7.455,3.775,168.3555,28.3395,2.670984243,1.833333333,0,3.5,0,5.333333333,0,0.34375,0.523809524,NA,NA,NA,NA,4.375,10,2,NA,78.5,20,0,16.52,NA,NA,NA,NA,NA,NA,216,72,1.531914894,NA
160,PollFlor,N,Y,Y,7.204007286,6.73828125,-0.465726036,98.10526316,61,37.10526316,62.22346359,88.7415115,-26.51804791,red,9.61,18.1,10.35,16.55,7.09,3.4,171.2925,24.106,2.374089756,3.5,0,0.833333333,0,4.333333333,0,0.807692308,4.2,NA,NA,NA,NA,4,30,2,17.77692308,81.3,19,0.333333333,28.275,NA,NA,NA,NA,NA,NA,226,169,3.595744681,0
161,PollRobFlor,Y,Y,Y,NA,-4.379310345,NA,21.76136364,84.36781609,-62.60645245,72.64428209,79.25164815,-6.607366055,red,8.104,18.56,8.162,13.612,6.822,4.348,118.79456,29.56068,0.374691658,8,0,2.833333333,0.333333333,10.83333333,0.333333333,0.738461538,2.823529412,NA,2,NA,0.01155,1.25,19,2,15.69038462,81.8,20,0.333333333,21.64333333,NA,NA,NA,NA,NA,NA,211,255,5.425531915,4
162,Florivory,N,Y,N,7.286666667,13.40277778,6.116111111,58.77192982,91.00840336,-32.23647354,5.869039554,5.455263993,0.413775561,yellow,7.14,17.555,8.68,14.5375,7.035,3.73,131.3642,27.2601,0.303562106,6.5,0.166666667,2.166666667,0,8.666666667,0.166666667,0.75,3,6,NA,0.0359,NA,17.5,18,5,7.23902439,81.5,16,1.333333333,20.48333333,NA,NA,NA,NA,NA,NA,212,176,3.744680851,3
163,PollFlor,N,Y,Y,4.568181818,-2.759259259,-7.327441077,138.75,68.29545455,70.45454545,82.00779647,78.73029276,3.277503718,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.333333333,0,0,0,1.333333333,0,1,NA,4,NA,0.0426,NA,0.625,23,3,NA,76.2,20,0,15.44833333,NA,NA,NA,NA,NA,NA,216,99,2.106382979,NA
164,PollRob,Y,N,Y,2.831349206,24.05448718,21.22313797,10.06410256,39.60591133,-29.54180877,6.741262683,5.383107286,1.358155398,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2.666666667,0.166666667,5.666666667,0.166666667,0.529411765,1.125,NA,1,NA,0.0118,0,22,4,7.219512195,71,20,0.333333333,19.02166667,0,0,0,0,0,0,215,80,1.70212766,0
165,Robbing,Y,N,N,NA,19.96884735,NA,58.75968992,47.79411765,10.96557227,8.598636938,2.275563925,6.323073013,yellow,9.109166667,18.84833333,8.356666667,14.26666667,6.44,4.729166667,127.05815,30.5754,1.024506551,21.83333333,1,7.833333333,1,29.66666667,2,0.735955056,2.787234043,3,1.833333333,0.01888,0.011933333,0.5,18,4,18.22692308,80,18,2.666666667,23.305,0,0,8,0,0,0.5,191,368,7.829787234,7
166,PollRobFlor,Y,Y,Y,21.41666667,NA,NA,117.3333333,NA,NA,77.02680771,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.666666667,0,1.666666667,0,0,0,NA,NA,NA,NA,1.625,3,3,0.2703125,38.1,8,0,25.34,NA,NA,NA,NA,NA,NA,238,2,0.044444444,0
167,PollRobFlor,Y,Y,Y,4.821428571,NA,NA,47.22689076,NA,NA,8.993055395,NA,NA,yellow,7.23,17.9,6.845,12.4125,6.4925,3.6425,87.826125,23.358525,-0.868289845,0.4,0,0.6,0,1,0,0.4,0.666666667,NA,NA,NA,NA,2.375,14,2,NA,67.9,19,0.333333333,22.28666667,0,0,4,0,0,0.2,209,17,0.472222222,36
168,Florivory,N,Y,N,5.145951036,11.15319865,6.007247617,17.33624454,40.5,-23.16375546,13.53786743,4.180094414,9.357773014,yellow,5.93,17.805,9.04,13.445,7.005,3.165,121.1072,22.3998,-0.09721552,4.333333333,0.166666667,4.5,0,8.833333333,0.166666667,0.490566038,0.962962963,NA,NA,NA,NA,2.5,16,5,4.170217226,89.5,19,0,24.155,NA,NA,NA,NA,NA,NA,218,136,2.893617021,12
169,PollRob,Y,N,Y,19.257087,12.54340278,-6.713684221,97.27272727,90,7.27272727,7.664557006,4.513185258,3.151371748,yellow,8.033333333,20.30333333,9.163333333,16.14,7.926666667,3.803333333,147.5312667,30.37986667,1.969871805,7,0.166666667,2.5,0,9.5,0.166666667,0.736842105,2.8,NA,NA,NA,NA,2.75,15,2,20.11135084,85.5,19,0.666666667,34.35833333,NA,NA,NA,NA,NA,NA,216,220,4.680851064,NA
170,Pollination,N,N,Y,9.638047138,19.31229773,9.674250597,15.92885375,40.4,-24.47114625,4.677290314,3.452025502,1.225264812,yellow,8.965,18.4,10.07,15.50333333,7.03,3.946666667,156.2103333,27.67423333,1.837016746,6.666666667,0,5.833333333,0.833333333,12.5,0.833333333,0.533333333,1.142857143,NA,1.8,NA,0.01086,6.375,23,3,2.778125,75.9,18,1.666666667,18.34333333,NA,NA,NA,NA,NA,NA,229,245,5.212765957,0
171,Control,N,N,N,8.743589744,7.493961353,-1.249628391,NA,66.77018634,NA,8.447610596,7.863916419,0.583694177,yellow,9.14,22.25,10.41,18.37,7,4.61,191.2317,32.27,4.110598333,1.333333333,0,4.666666667,0.333333333,6,0.333333333,0.222222222,0.285714286,NA,2,NA,0.012,0,11,2,5.559165396,80.9,19,1.333333333,20.29666667,0,8,0,0,1,0,212,123,2.617021277,0
172,Robbing,Y,N,N,7.083333333,20.76190476,13.67857143,44.453125,46.20567376,-1.75254876,5.518022655,3.515358532,2.002664124,yellow,8.621666667,19.065,6.928333333,13.47833333,5.788333333,4.15,98.02093333,22.8473,0.180642484,4.166666667,0.166666667,2.833333333,0.166666667,7,0.333333333,0.595238095,1.470588235,4,3,0.0274,0.0125,1.875,14,3,25.90032833,87.6,21,0.333333333,23.06333333,4,0,0,0.333333333,0,0,207,354,7.531914894,4
173,Control,N,N,N,5.987903226,-0.208333333,-6.196236559,49.35606061,25.93291405,23.42314656,NA,61.45210844,NA,red,9.133333333,17.21,9.966666667,16.62666667,6.636666667,3.576666667,166.26,23.7643,1.872708438,5,0,1.5,0.166666667,6.5,0.166666667,0.769230769,3.333333333,NA,2,NA,0.0144,1.875,22,4,13.73076923,82.9,18,0.333333333,22.71333333,NA,NA,NA,NA,NA,NA,223,195,4.14893617,0
174,PollRob,Y,N,Y,5.977690289,7.767857143,1.790166854,37.81818182,132.421875,-94.60369318,85.2486194,94.04902147,-8.800402067,red,8.71,19.01,10.37666667,15.85,7.273333333,4.25,165.2191333,31.28486667,2.138267444,6.5,0.333333333,0.833333333,0,7.333333333,0.333333333,0.886363636,7.8,3.5,NA,0.031205,NA,1.125,13,3,4.825180288,90.5,19,0,27.87333333,0,0,0,0,0,0,221,231,4.914893617,0
175,Control,N,N,N,8.585626911,11.25641026,2.670783345,NA,122.6422764,NA,9.899308861,3.468795356,6.430513506,yellow,10.02,19.73,9.535,17.08,8.12,3.5,163.50855,28.4662,2.835769923,4.166666667,0,2.166666667,0.166666667,6.333333333,0.166666667,0.657894737,1.923076923,NA,1,NA,0.0041,2.375,17,2,3.1390625,76.9,19,0,21.54,NA,NA,NA,NA,NA,NA,212,167,3.553191489,0
176,PollRob,Y,N,Y,NA,24.5754717,NA,46.484375,51.21212121,-4.72774621,48.18827117,85.79954654,-37.61127537,red,8.90875,18.354,7.237,13.573,6.2,4.442,104.55172,27.65612,0.212945154,20.16666667,0.666666667,5.333333333,1.333333333,25.5,2,0.790849673,3.78125,4,2.142857143,0.0238,0.014185714,0.875,2,1,3.728849085,92.7,22,6.333333333,27.73,2,0,2,0.1,0,0.1,187,316,6.723404255,5
177,PollFlor,N,Y,Y,NA,8.106060606,NA,21.80327869,93.8292011,-72.02592241,6.269980241,4.394409682,1.875570558,yellow,10.54,19.88333333,10.56666667,17.2,8.35,4.183333333,182.2661333,35.08403333,3.489993203,11.16666667,0.166666667,7.666666667,1.5,18.83333333,1.666666667,0.592920354,1.456521739,3,2.25,0.0119,0.016925,2.25,15,1,5.411280488,80.1,20,2,18.51666667,0,0,4,0,0,1,195,226,4.808510638,20
178,Control,N,N,N,NA,5.362068966,NA,39.79258328,59.77443609,-19.98185281,5.169034844,3.955231751,1.213803093,yellow,9.20875,17.85625,8.0325,14.06,7.18625,4.982857143,121.70335,35.46238571,0.612081862,7,0.666666667,2.666666667,1.166666667,9.666666667,1.833333333,0.724137931,2.625,3.666666667,1.5,0.024433333,0.008383333,1,8,2,2.1828125,90.3,21,2.666666667,18.09666667,0,0,1,0,0,0.166666667,208,233,4.957446809,30
179,Florivory,N,Y,N,8.295454545,8.131313131,-0.164141414,66.30136986,17.5,48.80136986,4.587461342,3.328564368,1.258896974,yellow,7.37,18.61333333,10.28666667,15.33333333,6.763333333,3.186666667,157.9279667,21.5578,1.45852761,10.5,0,9.833333333,0.833333333,20.33333333,0.833333333,0.516393443,1.06779661,NA,1.75,NA,0.011175,1.5,13,2,9.713461538,71.3,18,6.333333333,30.425,0,0,0,0,0,0,210,286,6.085106383,2
180,PollFlor,N,Y,Y,9.857142857,3.733108108,-6.124034749,116.3636364,74.49541284,41.86822356,6.403463602,3.042671665,3.360791937,yellow,8.966666667,18.72666667,9.02,14.13,7.45,3.396666667,128.2414667,25.44003333,1.149184685,8.833333333,0.166666667,4.666666667,0.833333333,13.5,1,0.654320988,1.892857143,3,1.4,0.0201,0.01084,1,7,1,3.1109375,75.5,18,3.666666667,27.335,0,0,0,0,0,0,216,239,5.085106383,50
181,Control,N,N,N,8.086734694,4.715447154,-3.371287539,38.65853659,97.73462783,-59.07609124,12.05875472,11.37458146,0.684173257,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,0,0.166666667,0,0.333333333,0,0.5,1,NA,NA,NA,NA,0.25,6,1,2.9171875,68.4,18,0,23.44,NA,NA,NA,NA,NA,NA,232,47,1,NA
182,Robbing,Y,N,N,20.08196721,16.36363636,-3.718330849,NA,53.92592593,NA,9.476084799,4.064267998,5.411816801,yellow,9.62,17.78,8.46,15.64,6.88,2.76,132.3144,18.9888,1.339881863,0.666666667,0,1.666666667,0.166666667,2.333333333,0.166666667,0.285714286,0.4,NA,3,NA,0.0223,1.25,10,2,NA,81.6,17,2,21.975,NA,NA,NA,NA,NA,NA,230,21,0.446808511,NA
183,RobFlor,Y,Y,N,5.996563574,5.175925926,-0.820637648,69.23076923,163.9534884,-94.72271917,9.688650526,4.622047131,5.066603395,yellow,7.73,17.075,8.305,14.065,7.6,3.205,116.51215,24.31975,0.073437158,2,0,4.666666667,1.333333333,6.666666667,1.333333333,0.3,0.428571429,NA,2.142857143,NA,0.012628571,11.875,5,4,3.544359756,79.2,19,2,21.90666667,NA,NA,NA,NA,NA,NA,230,117,2.489361702,0
184,RobFlor,Y,Y,N,8.541666667,2.841880342,-5.699786325,NA,113.8983051,NA,6.59965604,5.366782321,1.232873719,yellow,9.33,19.35,9.84,16.03,7.95,4.04,157.7352,32.118,2.292860346,6.333333333,0,5.833333333,1,12.16666667,1,0.520547945,1.085714286,NA,1.6,NA,0.00622,0.25,9,2,5.643902439,72.7,19,2.666666667,19.38833333,NA,NA,NA,NA,NA,NA,218,124,2.638297872,0
185,Robbing,Y,N,N,15.39529915,11.11111111,-4.284188034,123.1343284,44.79591837,78.33841003,17.89254446,2.284314736,15.60822972,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,0,3.666666667,0.333333333,3.833333333,0.333333333,0.043478261,0.045454545,NA,1.5,NA,0.00925,1.625,7,2,3.792949695,73.6,18,0,23.65333333,NA,NA,NA,NA,NA,NA,233,73,1.553191489,NA
186,RobFlor,Y,Y,N,6.145833333,4.299363057,-1.846470276,251.8518519,110.1052632,141.7465887,5.058614503,1.8550939,3.203520603,yellow,9.42,20.37333333,10.63333333,17.58666667,7.933333333,4.193333333,189.1409333,33.2939,3.38167249,3.666666667,0,3.5,0.166666667,7.166666667,0.166666667,0.511627907,1.047619048,NA,2,NA,0.0094,1.375,5,2,5.975609756,80.5,21,1.333333333,27.21166667,0,0,0,0,0,0,223,145,3.085106383,NA
187,RobFlor,Y,Y,N,4.816176471,22.70440252,17.88822605,78.38383838,28.67346939,49.71036899,52.72038435,52.76638007,-0.045995722,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333,0.166666667,11.66666667,1.666666667,12.5,1.833333333,0.066666667,0.071428571,NA,2.272727273,NA,0.014745455,1.375,6,3,NA,82.8,19,4.666666667,27.33166667,NA,NA,NA,NA,NA,NA,229,88,1.872340426,0
188,PollFlor,N,Y,Y,6.806853583,6.730769231,-0.076084352,391.2121212,96.31067961,294.9014416,40.47911216,5.570200983,34.90891118,red,9.335,20.8375,10.705,16.1075,8.383333333,4.566666667,172.532525,38.2752,3.114958388,4.833333333,0,6.666666667,1.333333333,11.5,1.333333333,0.420289855,0.725,NA,1.666666667,NA,0.011366667,1.125,5,2,3.890377287,75.8,21,1.333333333,24.29666667,0,3,3,0,0.666666667,0.666666667,191,141,3,1
189,PollFlor,N,Y,Y,7.739899694,9.421487603,1.68158791,31,89.28571429,-58.28571429,15.78442105,4.924327219,10.86009383,yellow,8.573333333,16.67666667,7.986666667,13.3,6.31,3.923333333,107.5491667,25.42033333,-0.105502976,4.666666667,0.166666667,6.166666667,1.5,10.83333333,1.666666667,0.430769231,0.756756757,3,2,0.0208,0.012014286,7.625,10,3,NA,77.7,20,2,26.255,NA,NA,NA,NA,NA,NA,212,157,3.340425532,10
190,Florivory,N,Y,N,23.7295082,NA,NA,17.39473684,93.1372549,-75.74251806,1.721852002,2.420869616,-0.699017614,yellow,6.938,18.568,8.556,14.098,6.476,4.696,122.57862,30.85576,0.345429656,3.5,0.333333333,11,1.666666667,14.5,2,0.24137931,0.318181818,2,1.875,0.0121,0.00805,3.125,42,2,1.39921875,85,15,2.333333333,23.85833333,0,0,0,0,0,0,193,151,3.212765957,30
191,PollRob,Y,N,Y,NA,16.28472222,NA,117,63.98148148,53.01851852,8.549889094,4.943628534,3.60626056,yellow,6.598333333,17.30333333,6.89,12.82,6.01,4.258333333,93.35075,24.8971,-1.040090852,12.33333333,0.5,11.33333333,0.5,23.66666667,1,0.521126761,1.088235294,4.5,2,0.029,0.0128,0.75,17,3,2.7484375,80,16,2.666666667,26.00833333,0,0,4,0,0,0.25,212,314,6.680851064,22
192,RobFlor,Y,Y,N,10.1059322,5.714285714,-4.391646489,18.01020408,113.0526316,-95.04242752,30.17479517,5.298597402,24.87619777,yellow,10.82,20.06,7.84,15.3,7.07,3.61,119.952,25.5227,2.107907357,7,0,7.666666667,0.333333333,14.66666667,0.333333333,0.477272727,0.913043478,NA,NA,NA,NA,1,8,1,2.63671875,84,18,2,26.74333333,NA,NA,NA,NA,NA,NA,221,132,2.808510638,1
193,PollFlor,N,Y,Y,NA,6.335034014,NA,20.64544651,60.56179775,-39.91635124,3.852672431,3.440031854,0.412640576,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,6.666666667,0.5,8.666666667,0.5,0.230769231,0.3,NA,2,NA,0.01415,3.875,13,3,NA,83,15,0.333333333,24.425,NA,NA,NA,NA,NA,NA,199,52,1.106382979,0
194,PollRobFlor,Y,Y,Y,NA,8.537735849,NA,80.32679739,113.9784946,-33.65169721,6.470765326,4.678160865,1.792604462,yellow,8.29,15.81,7.56,12.1,8.025,3.275,92.204,27.1227,-0.87333181,1.166666667,0,8.5,0.5,9.666666667,0.5,0.120689655,0.137254902,NA,2.5,NA,0.01505,1,7,1,NA,89.3,20,1.333333333,25.08833333,NA,NA,NA,NA,NA,NA,211,67,1.425531915,0
195,PollRob,Y,N,Y,5.87535014,4.604316547,-1.271033593,119.1919192,34.56410256,84.62781664,67.50801606,81.5778071,-14.06979104,red,7.53,16.48,7.21,11.62,5.59,2.29,83.7802,12.8011,-1.215631893,13.83333333,0,9.5,0.5,23.33333333,0.5,0.592857143,1.456140351,NA,2,NA,0.012575,1.125,13,1,7.068292683,80.4,19,0,29.03833333,NA,NA,NA,NA,NA,NA,229,265,5.638297872,0
196,RobFlor,Y,Y,N,12.20833333,3.585858586,-8.622474747,101.3253012,24.76190476,76.56339644,5.695407574,4.805734984,0.88967259,yellow,9.653333333,19.18,9.46,15.28333333,6.91,3.556666667,144.4731667,24.5554,1.99990292,6.333333333,0.333333333,4.5,0.333333333,10.83333333,0.666666667,0.584615385,1.407407407,3.5,1.5,0.0142,0.01005,4.75,14,4,5.280228365,85.6,22,0,25.83166667,NA,NA,NA,NA,NA,NA,229,181,3.934782609,0
197,RobFlor,Y,Y,N,NA,NA,NA,NA,37.01492537,NA,39.30988387,57.15668727,-17.84680341,red,9.22125,18.11125,7.26875,12.97375,6.78375,4.55125,100.8190875,30.3299125,0.091076392,17.5,0.166666667,12.33333333,0.833333333,29.83333333,1,0.586592179,1.418918919,2,2.333333333,0.0119,0.012966667,1.75,16,1,4.897560976,91.9,22,2.666666667,22.5,0,0,0,0,0,0,191,311,6.617021277,4
198,PollFlor,N,Y,Y,11.33561644,5.075,-6.260616438,NA,100.1052632,NA,74.23222704,84.47207189,-10.23984485,red,6.445,17.835,8.69,13.79,5.95,3.2,119.7991,18.9088,-0.005575084,5.333333333,0.166666667,8.166666667,1,13.5,1.166666667,0.395061728,0.653061224,4,1.6,0.0162,0.00898,0.75,6,1,3.214543269,79.1,20,3,19.23833333,NA,NA,NA,NA,NA,NA,222,100,2.127659574,NA
199,Robbing,Y,N,N,NA,7.69924812,NA,93.84879725,88.43969145,5.409105805,6.742709786,2.594610512,4.148099274,yellow,7.76125,17.67375,7.10625,12.55125,5.95625,4.13625,94.2153625,24.2727625,-0.64659658,9.5,0.166666667,10.2,0,19.7,0.166666667,0.482233503,0.931372549,3,NA,0.019,NA,5.625,6,1,3.727038872,77.9,19,3,23.99,0,0,0,0,0,0,193,153,3.255319149,7
200,Pollination,N,N,Y,4.103053435,10.26422764,6.161174207,53.62962963,19.85294118,33.77668845,4.527020923,6.023341231,-1.496320308,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,2,0,0,0,NA,NA,NA,NA,12.5,3,1,NA,66,20,0,18.64,NA,NA,NA,NA,NA,NA,235,15,0.326086957,NA
